id,text
trapped_reliquary_a0_lose,"The trigger pattern defeats you. Better left alone."
trapped_reliquary_a1_act,"Lift the gem gently"
trapped_reliquary_a1_win,"With nerves of steel, you lift the gem without triggering the mechanism."
trapped_reliquary_a1_lose,"The mechanism clicks ominously. You retreat empty-handed."
trapped_reliquary_a2_act,"Snatch and run"
trapped_reliquary_a2_win,"Grab, sprint, slide — the darts hit nothing but wall. What a haul!"
trapped_reliquary_a2_lose,"A volley of darts finds you mid-sprint."
disarm_the_contraption,"A tripwire stretches across the passage, connected to something deadly."
disarm_the_contraption_a0_act,"Trace the tripwire"
disarm_the_contraption_a0_win,"You follow the wire to its housing and simply step around the whole rig — pocketing the trapper's stash."
disarm_the_contraption_a0_lose,"The wire vanishes into the wall. You give it a wide berth."
disarm_the_contraption_a1_act,"Disarm the mechanism"
disarm_the_contraption_a1_win,"You carefully dismantle the trap, revealing a cache of gold behind it."
disarm_the_contraption_a1_lose,"A dart fires from the wall! You flinch back empty-handed."
disarm_the_contraption_a2_act,"Smash through and grab everything"
disarm_the_contraption_a2_win,"You barrel through before the trap can cycle — and rip its gilded housing off the wall!"
disarm_the_contraption_a2_lose,"The trap fires true. That one hurt."
sleeping_guardian,"A hibernating beast blocks the passage to a glittering hoard."
sleeping_guardian_a0_act,"Find a wide berth"
sleeping_guardian_a0_win,"You spot a drainage crawl that loops behind the beast. Slow, filthy, effective."
sleeping_guardian_a0_lose,"No way around. The beast guards the only path."
sleeping_guardian_a1_act,"Slip past silently"
sleeping_guardian_a1_win,"You slip past without a sound, claiming the treasure behind it."
sleeping_guardian_a1_lose,"The beast stirs! The party flees the room."
sleeping_guardian_a2_act,"The whole party sneaks the hoard"
sleeping_guardian_a2_win,"Impossibly, five sets of boots make no sound. You strip the hoard bare!"
sleeping_guardian_a2_lose,"Someone kicks a coin. The beast's roar echoes through the dungeon."
hidden_stash,"The monsters must have hidden something in this room."
hidden_stash_a0_act,"Scan for loose stones"
hidden_stash_a0_win,"A scuffed flagstone gives it away — a small pouch of gold underneath."
hidden_stash_a0_lose,"If there's a stash here, it's hidden too well."
hidden_stash_a1_act,"Ease it out without springing the bell"
hidden_stash_a1_win,"Tucked behind a loose stone — and rigged to a bell — you find a pouch of gold. The bell never rings."
hidden_stash_a1_lose,"The bell clangs. The prize drops into a chute and is gone."
hidden_stash_a2_act,"Grab it fast"
hidden_stash_a2_win,"Faster than the trap can trigger — you rip the whole stash free!"
hidden_stash_a2_lose,"The alarm bell rings through the halls. Something answers."
rune_sealed_door,"Glowing runes pulse on a sealed stone door."
rune_sealed_door_a0_act,"Recall the sigil lore"
rune_sealed_door_a0_win,"You remember this school of warding — and its standard master phrase. The seal fades."
rune_sealed_door_a0_lose,"The sigils match nothing you've read."
rune_sealed_door_a1_act,"Trace counter-runes"
rune_sealed_door_a1_win,"You trace the counter-runes — the seal dissolves, opening the way to a bonus chamber."
rune_sealed_door_a1_lose,"The runes flare but hold. The door stays sealed."
rune_sealed_door_a2_act,"Overload the seal"
rune_sealed_door_a2_win,"You pour raw magic into the ward until it bursts — the chamber and its riches lie open!"
rune_sealed_door_a2_lose,"The ward discharges into you with a crack."
crystal_conduit,"Floating crystals hum with untapped energy, begging for alignment."
crystal_conduit_a0_act,"Study the resonance"
crystal_conduit_a0_win,"You deduce the alignment sequence and nudge one crystal — the rest follow."
crystal_conduit_a0_lose,"The pattern shifts faster than you can chart it."
crystal_conduit_a1_act,"Align the crystals"
crystal_conduit_a1_win,"The crystals lock into alignment, creating a teleport nexus for this floor."
crystal_conduit_a1_lose,"The crystals dim. The resonance eludes you."
crystal_conduit_a2_act,"Force the resonance"
crystal_conduit_a2_win,"You slam the frequencies together — the nexus roars to life, shedding crystal shards worth a fortune!"
crystal_conduit_a2_lose,"A crystal shatters, spraying you with shards."
identify_enchantment,"Magical residue lingers from the defeated caster."
identify_enchantment_a0_act,"Sift the residue"
identify_enchantment_a0_win,"Scorch marks point the way — you sketch a partial route toward the boss lair."
identify_enchantment_a0_lose,"The residue is too scattered to read."
identify_enchantment_a1_act,"Read the residue"
identify_enchantment_a1_win,"The residue reveals a vision of the boss chamber and its location on your map."
identify_enchantment_a1_lose,"The residue fades too quickly to read."
annal_tablet,"An ancient stone tablet is carved with intricate script."
annal_tablet_a0_act,"Copy the carvings"
annal_tablet_a0_win,"Your careful rubbing captures a floor plan etched into the border."
annal_tablet_a0_lose,"The rubbing smears. Nothing legible survives."
annal_tablet_a1_act,"Translate the script"
annal_tablet_a1_win,"You decipher the annals — the floor layout is revealed on your minimap."
annal_tablet_a1_lose,"The script is too eroded to read."
annal_tablet_a2_act,"Divine the meaning"
annal_tablet_a2_win,"You let the tablet speak through you — the whole floor unfolds in your mind, and the vision points to buried coin!"
annal_tablet_a2_lose,"The divination collapses into noise and a splitting headache."
tomb_rite,"A sarcophagus bears funerary inscriptions."
tomb_rite_a0_act,"Offer a simple blessing"
tomb_rite_a0_win,"The spirit accepts your respect. The lid slides open an inch — enough."
tomb_rite_a0_lose,"The blessing goes unanswered. The lid stays sealed."
tomb_rite_a1_act,"Recite the burial rites"
tomb_rite_a1_win,"You recite the ancient rites. The sarcophagus opens, yielding fine grave goods."
tomb_rite_a1_lose,"A spectral wail echoes through the chamber, but the lid holds."
tomb_rite_a2_act,"Force the lid"
tomb_rite_a2_win,"Stone grinds aside — the occupant was buried with everything they owned!"
tomb_rite_a2_lose,"The lid slams back down on your fingers, and a chill saps your strength."
architect_insight,"The room's architectural style is distinctive."
architect_insight_a0_act,"Pace the walls"
architect_insight_a0_win,"One wall is two feet thicker than it should be. A secret door!"
architect_insight_a0_lose,"The walls measure true. Nothing hidden."
architect_insight_a1_act,"Read the builder's style"
architect_insight_a1_win,"You recognize the builder's mark — a secret door is nearby!"
architect_insight_a1_lose,"The room looks ordinary. No secrets here."
hidden_armory,"This room feels like it might have a concealed storage area."
hidden_armory_a0_act,"Check for scuff marks"
hidden_armory_a0_win,"Drag marks lead to a false panel — a piece of gear inside!"
hidden_armory_a0_lose,"The floor tells you nothing."
hidden_armory_a1_act,"Search methodically"
hidden_armory_a1_win,"Behind a false wall panel, you discover a piece of gear!"
hidden_armory_a1_lose,"You find nothing of value."
hidden_armory_a2_act,"Tear out the panels"
hidden_armory_a2_win,"You rip every panel off the walls — an entire hidden rack of equipment!"
hidden_armory_a2_lose,"A panel splinters, driving spikes into your hand."
pressure_plate_puzzle,"A patterned floor stretches ahead. One wrong step and darts fly."
pressure_plate_puzzle_a0_act,"Watch the dust patterns"
pressure_plate_puzzle_a0_win,"Undisturbed dust marks the safe tiles. You cross to the pedestal at a stroll."
pressure_plate_puzzle_a0_lose,"The dust lies evenly everywhere. No hints."
pressure_plate_puzzle_a1_act,"Deduce the safe path"
pressure_plate_puzzle_a1_win,"You map the safe path and reach the reward pedestal at the center."
pressure_plate_puzzle_a1_lose,"A wrong step triggers a dart trap! The party takes some scratches."
pressure_plate_puzzle_a2_act,"Dance across the plates"
pressure_plate_puzzle_a2_win,"You cartwheel through the dart volleys untouched and empty the pedestal — twice over!"
pressure_plate_puzzle_a2_lose,"Darts fill the air, and you catch several."
search_for_clues,"A discarded journal lies in the corner."
search_for_clues_a0_act,"Skim the journal"
search_for_clues_a0_win,"A few legible pages hold useful notes about this dungeon."
search_for_clues_a0_lose,"The journal is mostly illegible."
search_for_clues_a1_act,"Cross-reference the entries"
search_for_clues_a1_win,"Dates and names line up — the journal yields real tactical insight."
search_for_clues_a1_lose,"The references lead nowhere."
overgrown_grove,"Rare alchemical herbs grow among the ancient roots."
overgrown_grove_a0_act,"Gather the obvious herbs"
overgrown_grove_a0_win,"You collect the common healing herbs you recognize on sight."
overgrown_grove_a0_lose,"The plants are common weeds. Nothing useful."
overgrown_grove_a1_act,"Harvest the rare specimens"
overgrown_grove_a1_win,"You gather several prime specimens — enough for healing potions!"
overgrown_grove_a1_lose,"The rare herbs crumble at your touch. Wrong season."
overgrown_grove_a2_act,"Strip the whole grove"
overgrown_grove_a2_win,"You harvest everything — a full satchel of alchemical treasure!"
overgrown_grove_a2_lose,"A defensive bloom bursts, searing your skin with sap."
mushroom_chamber,"A dazzling array of fungi covers the walls. Some heal — some kill."
mushroom_chamber_a0_act,"Pick only what you know"
mushroom_chamber_a0_win,"A modest handful of trusted caps — the party shares a small meal."
mushroom_chamber_a0_lose,"Nothing here you can vouch for. Better hungry than dead."
mushroom_chamber_a1_act,"Sort edible from deadly"
mushroom_chamber_a1_win,"You sort the edible from the poisonous. The party shares the safe ones."
mushroom_chamber_a1_lose,"Sleep spores trigger! The party coughs in the haze."
mushroom_chamber_a2_act,"Trust your gut and feast"
mushroom_chamber_a2_win,"Every cap you pick is a restorative rarity — the party feasts!"
mushroom_chamber_a2_lose,"That one was definitely poison."
toxic_pool,"A pool of bubbling gas fills a low section of the room. A stash glints on the far side."
toxic_pool_a0_act,"Wait and watch the fumes"
toxic_pool_a0_win,"The gas ebbs on a cycle. You time your crossing and back with room to spare."
toxic_pool_a0_lose,"The fumes never thin. Not worth the lungs."
toxic_pool_a1_act,"Read the gas currents"
toxic_pool_a1_win,"You identify the clear route through the gas and reach the stash."
toxic_pool_a1_lose,"The gas stings your eyes. You retreat."
toxic_pool_a2_act,"Hold breath and dash"
toxic_pool_a2_win,"Thirty seconds of sprinting through poison — and you carry back everything!"
toxic_pool_a2_lose,"You gasp halfway. The gas burns going down."
desecrated_shrine,"A once-holy shrine has been corrupted by dark energy."
desecrated_shrine_a0_act,"Cleanse the outer icons"
desecrated_shrine_a0_win,"The icons brighten. A gentle warmth settles over the party as it rests."
desecrated_shrine_a0_lose,"The grime won't lift. The corruption runs deeper than the surface."
desecrated_shrine_a1_act,"Perform the purification"
desecrated_shrine_a1_win,"The shrine glows with restored light — the party rests, fully healed!"
desecrated_shrine_a1_lose,"The corruption holds. The shrine remains defiled."
desecrated_shrine_a2_act,"Burn out the corruption"
desecrated_shrine_a2_win,"Dark energy screams out of the stone — the shrine blazes, and its offering bowl fills with old tithes!"
desecrated_shrine_a2_lose,"The corruption lashes back before the ritual completes."
heretic_ward,"Profane symbols seal this door."
heretic_ward_a0_act,"Find the anchor glyph"
heretic_ward_a0_win,"Every ward has a keystone. You scratch through it and the seal unravels."
heretic_ward_a0_lose,"The glyphs loop into themselves. No anchor found."
heretic_ward_a1_act,"Recite the counter-litany"
heretic_ward_a1_win,"Your recitation breaks the ward! The door swings open to a bonus chamber."
heretic_ward_a1_lose,"The symbols flash red. The door stays sealed."
heretic_ward_a2_act,"Break the door down"
heretic_ward_a2_win,"Ward or no ward, hinges are hinges. The chamber and everything in it is yours!"
heretic_ward_a2_lose,"The ward detonates with a thunderclap heard through the whole floor."
holy_symbol,"A buried relic peeks from the rubble."
holy_symbol_a0_act,"Dig it out carefully"
holy_symbol_a0_win,"You free the relic intact — a collector will pay well."
holy_symbol_a0_lose,"It crumbles as you pull. Just corroded tin."
holy_symbol_a1_act,"Identify the relic"
holy_symbol_a1_win,"You recognize the holy symbol and recover it properly — a valuable find!"
holy_symbol_a1_lose,"Just a rock. Nothing special."
caged_beast,"A magical creature is trapped in a cage. It looks scared but not hostile."
caged_beast_a0_act,"Read its body language"
caged_beast_a0_win,"You understand what it needs and it warms to you, sniffing out hidden things nearby."
caged_beast_a0_lose,"The creature stays pressed to the far bars."
caged_beast_a1_act,"Befriend the creature"
caged_beast_a1_win,"You befriend the creature! It follows the party, sniffing out hidden items."
caged_beast_a1_lose,"The creature cowers in the back of its cage, unreachable."
caged_beast_a2_act,"Open the cage"
caged_beast_a2_win,"It bounds out — and adopts the whole party, dragging over a buried keepsake as tribute!"
caged_beast_a2_lose,"It panics and rakes you on the way out."
pack_beast,"A spooked pack mule carries valuable goods. It's about to bolt."
pack_beast_a0_act,"Calm it with fodder"
pack_beast_a0_win,"It settles over a handful of feed and lets you unstrap a saddlebag."
pack_beast_a0_lose,"It shies from your hand and trots away."
pack_beast_a1_act,"Soothe the mule"
pack_beast_a1_win,"You soothe the mule. It drops its cargo before trotting off."
pack_beast_a1_lose,"The mule bolts with the goods."
pack_beast_a2_act,"Grab the harness"
pack_beast_a2_win,"You wrestle the mule still — every saddlebag is yours!"
pack_beast_a2_lose,"A hoof catches you square in the ribs."
lost_pet,"A lost drake pup sniffs at your pack."
lost_pet_a0_act,"Leave a scent trail"
lost_pet_a0_win,"It follows the trail of jerky right to you — then leads you to its owner's pack."
lost_pet_a0_lose,"It loses interest and skitters off."
lost_pet_a1_act,"Win its trust"
lost_pet_a1_win,"The drake wags its tail and leads you to its former owner's stash!"
lost_pet_a1_lose,"It runs away before you can approach."
mimic_sense,"Something feels wrong about that chest in the corner."
mimic_sense_a0_act,"Watch from a distance"
mimic_sense_a0_win,"You catch it breathing. Mimic confirmed — the party won't be surprised."
mimic_sense_a0_lose,"It looks like a chest. Probably. You keep your distance anyway."
mimic_sense_a1_act,"Study its tells"
mimic_sense_a1_win,"You spot the telltale signs — it's a mimic! The party strikes first."
mimic_sense_a1_lose,"Seems normal enough. You proceed cautiously."
mimic_sense_a2_act,"Poke it with a sword"
mimic_sense_a2_win,"It shrieks and spits out its swallowed hoard before fleeing into the dark!"
mimic_sense_a2_lose,"It bites the sword — and your arm with it."
merchant_riddle,"The camp merchant smiles slyly. ""Answer my riddle, and the discount is steep."""
merchant_riddle_a0_act,"Recall old riddle-lore"
merchant_riddle_a0_win,"An old chestnut — you've read this one. The merchant grumbles and pays out."
merchant_riddle_a0_lose,"None of your books covered this one."
merchant_riddle_a1_act,"See through the trick"
merchant_riddle_a1_win,"You see through the merchant's trick and claim the prize!"
merchant_riddle_a1_lose,"The riddle stumps you. You pay the normal price."
fake_wall,"The room feels slightly too small for its outer dimensions."
fake_wall_a0_act,"Listen for drafts"
fake_wall_a0_win,"A whisper of moving air betrays the seam. The hidden room opens."
fake_wall_a0_lose,"The air is dead still."
fake_wall_a1_act,"Feel what's off about the room"
fake_wall_a1_win,"A section of wall sounds hollow! You break through to a secret room with loot."
fake_wall_a1_lose,"Nothing unusual about these walls."
fake_wall_a2_act,"Knock the wall in"
fake_wall_a2_win,"The false wall caves — the smugglers' whole cache spills out!"
fake_wall_a2_lose,"That wall was real. Your shoulder disagrees with it."
sick_wanderer,"A wounded NPC lies against the wall, feverish and weak."
sick_wanderer_a0_act,"Brew a folk remedy"
sick_wanderer_a0_win,"The tea breaks the fever. Grateful, they tell you of a hidden room."
sick_wanderer_a0_lose,"The remedy soothes but doesn't cure. They sleep restlessly."
sick_wanderer_a1_act,"Diagnose and treat"
sick_wanderer_a1_win,"You treat the ailment. Grateful, they hand you a key to a locked door on this floor."
sick_wanderer_a1_lose,"The ailment is beyond your skill."
sick_wanderer_a2_act,"Attempt the risky surgery"
sick_wanderer_a2_win,"The surgery succeeds beyond hope! They press their entire map and coin purse on you."
sick_wanderer_a2_lose,"You do more harm than good. They wave you away, wincing."
triage_aftermath,"After the fight, the party's wounds need tending."
triage_aftermath_a0_act,"Apply salves and rest"
triage_aftermath_a0_win,"Field salves take the edge off — everyone feels a little better."
triage_aftermath_a0_lose,"The salves have gone rancid. No help there."
triage_aftermath_a1_act,"Proper triage"
triage_aftermath_a1_win,"You bandage wounds and set minor fractures — everyone regains vitality."
triage_aftermath_a1_lose,"The injuries are too fresh for field medicine to help much."
triage_aftermath_a2_act,"Aggressive field surgery"
triage_aftermath_a2_win,"Stitches, splints, and one very brave incision — the party feels remade!"
triage_aftermath_a2_lose,"The scalpel slips. Now there's one more wound to bind."
plague_source,"A foul contamination seeps from a crack in the floor."
plague_source_a0_act,"Read the flora die-off"
plague_source_a0_win,"The withered moss maps the seepage. You chart the safe ground for the party."
plague_source_a0_lose,"The die-off pattern makes no sense."
plague_source_a1_act,"Neutralize the source"
plague_source_a1_win,"You identify the contamination and neutralize it. The area is safe now."
plague_source_a1_lose,"The contamination remains, too hazardous to approach."
plague_source_a2_act,"Purge it with raw magic"
plague_source_a2_win,"Your purge sterilizes the crack — and crystallizes the residue into something sellable!"
plague_source_a2_lose,"The purge backfires, splashing you with the stuff."
secret_junction,"Something about this room feels off, like there's more here than meets the eye."
secret_junction_a0_act,"Measure the room"
secret_junction_a0_win,"The math doesn't add up — and the missing space holds a cache."
secret_junction_a0_lose,"The dimensions check out. Just a room."
secret_junction_a1_act,"Spot the hairline crack"
secret_junction_a1_win,"You notice a hairline crack in the masonry — a secret door! It leads to a bonus room."
secret_junction_a1_lose,"The walls are blank. Nothing hidden here."
secret_junction_a2_act,"Sound the walls with a hammer"
secret_junction_a2_win,"CLANG — hollow! You smash straight into the hidden vault!"
secret_junction_a2_lose,"The hammering echoes down every corridor on the floor."
hidden_switch,"The floor has a subtle pattern. One stone might be a pressure switch."
hidden_switch_a0_act,"Map the floor pattern"
hidden_switch_a0_win,"The pattern resolves into a sequence. The last stone sinks with a click."
hidden_switch_a0_lose,"The pattern repeats endlessly. No anomaly."
hidden_switch_a1_act,"Spot the depression"
hidden_switch_a1_win,"You spot the worn depression. Stepping on it opens a treasure alcove!"
hidden_switch_a1_lose,"Nothing stands out. Just another room."
hidden_switch_a2_act,"Stomp every stone"
hidden_switch_a2_win,"Stomp seventeen finds it — the alcove opens wide, twice the cache you hoped for!"
hidden_switch_a2_lose,"Stomp nine was a spike trigger."
ambush_warning,"The signs are subtle — disturbed dust, a faint smell. You might not be alone."
ambush_warning_a0_act,"Read the tracks"
ambush_warning_a0_win,"Fresh tracks, headed east. The party won't be caught off guard."
ambush_warning_a0_lose,"The tracks are old. Or you're reading them wrong."
ambush_warning_a1_act,"Notice the disturbed dust"
ambush_warning_a1_win,"You notice tracks! A lurking monster group is nearby — the party prepares."
ambush_warning_a1_lose,"No sign of anything lurking nearby."
treasure_glint,"Torchlight catches something shiny in the rubble."
treasure_glint_a0_act,"Follow the glint"
treasure_glint_a0_win,"A coin — and a thin trail of them leading to a spilled purse."
treasure_glint_a0_lose,"Just a shadow playing tricks on you."
treasure_glint_a1_act,"Dig through the rubble"
treasure_glint_a1_win,"You pry up a loose stone and find a small cache of gold!"
treasure_glint_a1_lose,"Nothing under the rubble but more rubble."
treasure_glint_a2_act,"Heave the slab aside"
treasure_glint_a2_win,"Under the slab: an entire strongbox, untouched for a century!"
treasure_glint_a2_lose,"The slab slips and pins your foot."
lost_trail,"The path ahead forks. One way winds — the other might be a shortcut."
lost_trail_a0_act,"Follow the worn path"
lost_trail_a0_win,"Boot-worn stone marks the traveled route — a modest shortcut."
lost_trail_a0_lose,"The trail leads in circles."
lost_trail_a1_act,"Read the moss and airflow"
lost_trail_a1_win,"The draft and moss growth point true — a shortcut straight toward the boss."
lost_trail_a1_lose,"The signs contradict each other."
lost_trail_a2_act,"Take the vertical shortcut"
lost_trail_a2_win,"Up the wall, along a beam, down a shaft — you cut past half the floor and land beside someone's dropped purse!"
lost_trail_a2_lose,"The beam snaps. It's a long way down."
forage_supplies,"The area has edible plants and hidden caches if you know where to look."
forage_supplies_a0_act,"Gather the basics"
forage_supplies_a0_win,"You scavenge successfully, finding useful supplies."
forage_supplies_a0_lose,"Nothing useful here."
forage_supplies_a1_act,"Harvest medicinal plants"
forage_supplies_a1_win,"Proper herbs, properly cut — the makings of good medicine."
forage_supplies_a1_lose,"The medicinal plants are all blighted."
safe_camp,"This nook could serve as a safe resting spot — if it's as sheltered as it looks."
safe_camp_a0_act,"Fortify the nook"
safe_camp_a0_win,"Barricaded and quiet — the party takes a short rest."
safe_camp_a0_lose,"Too exposed even with barricades. No rest here."
safe_camp_a1_act,"Verify it's truly hidden"
safe_camp_a1_win,"Sightlines checked, approaches watched — the party rests easy."
safe_camp_a1_lose,"You spot three ways a monster could stumble in. Not safe."
safe_camp_a2_act,"Rest right here, quietly"
safe_camp_a2_win,"The whole party rests in perfect silence — deeply, wonderfully. And someone finds coins in the bedding!"
safe_camp_a2_lose,"A snore. A loud one. Things are coming."
environment_hazard,"The ceiling groans under shifting weight. Treasure lies beyond the unstable stretch."
environment_hazard_a0_act,"Chart the stable ground"
environment_hazard_a0_win,"You guide the party through the unstable area safely, reaching the treasure."
environment_hazard_a0_lose,"No stable line through. You turn back."
environment_hazard_a1_act,"Pick through nimbly"
environment_hazard_a1_win,"Quick feet on solid spots — you're across and back with the goods."
environment_hazard_a1_lose,"A near-miss from falling rock ends the attempt."
environment_hazard_a2_act,"Everyone sprints through"
environment_hazard_a2_win,"The party sprints as the ceiling rains stone — everyone through, arms full of everything!"
environment_hazard_a2_lose,"The collapse catches the stragglers."
bluff_the_sentinel,"A spectral sentinel bars the way. It might respond to authority — or a convincing lie."
bluff_the_sentinel_a0_act,"Cite the old passphrases"
bluff_the_sentinel_a0_win,"The archaic greeting you recall satisfies its ancient orders. It stands aside."
bluff_the_sentinel_a0_lose,"The passphrase has evidently changed in the last thousand years."
bluff_the_sentinel_a1_act,"Bluff with confidence"
bluff_the_sentinel_a1_win,"Your confident bluff convinces the sentinel you belong here. It reveals the room's treasure."
bluff_the_sentinel_a1_lose,"The sentinel doesn't buy it."
bluff_the_sentinel_a2_act,"Command it to kneel"
bluff_the_sentinel_a2_win,"It KNEELS. And surrenders the vault inventory it was guarding!"
bluff_the_sentinel_a2_lose,"Its shriek of outrage rings through the dungeon."
feign_authority,"An official-looking courier approaches with a heavy satchel."
feign_authority_a0_act,"Size up the courier"
feign_authority_a0_win,"You read them perfectly and talk your way into a ""delivery fee""."
feign_authority_a0_lose,"They're unreadable. Best not to risk it."
feign_authority_a1_act,"Pose as an inspector"
feign_authority_a1_win,"You pose as an inspector so convincingly the courier hands over a tribute of gold!"
feign_authority_a1_lose,"You're ignored. The courier passes by."
feign_authority_a2_act,"Shake them down"
feign_authority_a2_win,"They empty the whole satchel and run!"
feign_authority_a2_lose,"They blow a warning whistle as they flee."
false_trail,"A rival party's tracks cross yours."
false_trail_a0_act,"Study the rival tracks"
false_trail_a0_win,"You backtrack them to a stashed supply drop. Finders keepers."
false_trail_a0_lose,"The tracks scatter over stone and vanish."
false_trail_a1_act,"Plant misdirection"
false_trail_a1_win,"The rivals follow your false trail and abandon their supplies. You claim the spoils!"
false_trail_a1_lose,"No one takes the bait."
cower_the_scavengers,"A pack of scavengers has claimed a cache of treasure."
cower_the_scavengers_a0_act,"Shoo them off gently"
cower_the_scavengers_a0_win,"Calm, firm gestures move them along. Most of the cache remains."
cower_the_scavengers_a0_lose,"They snap and hold their ground."
cower_the_scavengers_a1_act,"A fierce display"
cower_the_scavengers_a1_win,"Your fierce display sends them scurrying! You collect their hoard."
cower_the_scavengers_a1_lose,"They scatter, but take the goods with them."
cower_the_scavengers_a2_act,"Charge the pack"
cower_the_scavengers_a2_win,"You scatter them like leaves and claim everything they've ever hoarded!"
cower_the_scavengers_a2_lose,"The pack swarms you before fleeing."
demand_passage,"A greedy gatekeeper demands tribute to pass."
demand_passage_a0_act,"Haggle the toll down"
demand_passage_a0_win,"You talk the toll down to nothing — and charm a ""gift"" out of them besides."
demand_passage_a0_lose,"The gatekeeper holds firm on the price."
demand_passage_a1_act,"Bully your way through"
demand_passage_a1_win,"Your threatening presence convinces the gatekeeper to let you pass — with an apology gift."
demand_passage_a1_lose,"The gatekeeper holds firm, unimpressed."
demand_passage_a2_act,"Slip past while they argue"
